mask,masked_scale,t_start,steps,topiq_fr,maniqa,proxy,p_rel,fr_gain
0.25,1.0,100,4,0.41677895188331604,0.24579554051160812,1.0684620229229334,1.0370112247992636,0.0025364160537719727
0.25,1.0,150,4,0.41669246554374695,0.24433688695232073,1.0607490167307356,1.0295252554090044,0.002449929714202881
0.5,1.0,100,4,0.4157826751470566,0.24424329524238905,1.0478895327610276,1.0170442977936534,0.0015401393175125122
0.25,1.0,250,4,0.41661755988995236,0.24049964298804602,1.0425454155926899,1.0118574878076063,0.002375024060408293
0.0,1.0,250,4,0.41395945101976395,0.24632184083263078,1.0322644146519402,1.0018791140807022,-0.00028308480978012085
0.0,1.0,600,4,0.4139473040898641,0.24617859224478403,1.0314569936047,1.0010954599393629,-0.00029523173967999083
0.0,1.0,400,4,0.4139674628774325,0.24599868804216385,1.03092721375078,1.0005812744621059,-0.0002750729521115436
0.0,1.0,100,4,0.4138987436890602,0.2460681920250257,1.0302987169002493,0.9999712777801758,-0.0003437921404838562
0.0,1.0,150,4,0.4138345370690028,0.24599399665991464,1.0290885829279819,0.9987967648018677,-0.0004079987605412616
0.5,1.0,150,4,0.41490274171034497,0.2409322870274385,1.0210339391690988,0.9909792141444557,0.0006602058808009015
0.25,1.0,400,4,0.4165879786014557,0.23567519336938858,1.0205418601110576,0.9905016197183277,0.002345442771911621
0.0,1.0,900,4,0.41185399889945984,0.24549666916330656,0.9997801687953372,0.9703510608043845,-0.0023885369300842285
0.25,1.0,600,4,0.41651781151692074,0.2305074321726958,0.9964463285195331,0.9671153540468912,0.0022752756873766766
0.75,1.0,100,4,0.41215646763642627,0.24227293580770493,0.9894834720715878,0.9603574533089386,-0.002086068193117796
0.5,1.0,250,4,0.41468960295120877,0.231176920235157,0.9744447026476261,0.9457613587681586,0.00044706712166470153
0.75,1.0,150,4,0.4118474970261256,0.23983405282100043,0.9743397288148601,0.9456594749009241,-0.002395038803418459
0.25,1.0,900,4,0.4140712444980939,0.230279711385568,0.9619724651401244,0.9336562487912412,-0.00017129133145016295
1.0,1.0,100,4,0.4103738342722257,0.24123338609933853,0.9604536794051528,0.9321821693935273,-0.003868701557318388
1.0,1.0,150,4,0.4095587208867073,0.23834668099880219,0.9363840402364728,0.9088210339864811,-0.0046838149428367615
0.75,1.0,250,4,0.4116010641058286,0.22910870611667633,0.9229526278674601,0.8957849830153194,-0.0026414717237154828
0.5,1.0,400,4,0.4139651233951251,0.2203675036629041,0.9161444112037614,0.8891771701500509,-0.00027741243441897767
1.0,1.0,250,4,0.40872572859128314,0.2279949610431989,0.8786490533476075,0.8527855098565699,-0.0055168072382609235
0.75,1.0,400,4,0.4082542310158412,0.2148664395014445,0.8134254045585788,0.7894817569243366,-0.005988304813702883
0.5,1.0,600,4,0.4092001790801684,0.20911799805859724,0.800624526050563,0.7770576796849891,-0.005042356749375643
1.0,1.0,400,4,0.40413513282934826,0.2152466115852197,0.7588028863755364,0.7364670841822409,-0.010107403000195803
0.5,1.0,900,4,0.4031847044825554,0.20372724905610085,0.6942345431186259,0.6737993474844644,-0.011057831346988678
0.75,1.0,600,4,0.39919155091047287,0.20009321781496206,0.623362603307391,0.6050135642457751,-0.015050984919071198
1.0,1.0,600,4,0.39228329062461853,0.19714495788017908,0.5156996924305955,0.500519773471283,-0.021959245204925537
0.75,1.0,900,4,0.3828708777825038,0.18938480007151762,0.35225213271814076,0.341883387290537,-0.031371658047040285
1.0,1.0,900,4,0.36242495228846866,0.18729136511683464,0.06330223922058946,0.061438901166648525,-0.05181758354107541
